Company,Event / Reason,Date,Theme,How,Who did the Action,# of People,Where,Source
Google,"Thousands of Google employees sign a petition demanding the company take a clear stance that it would never build warfare technology. Petition was in response to the project Maven, a collaborative effort with the Pentagon to use artificial intelligence to enhance drone strikes.",2018-05-14,Ethics (Maven),Letter (Petition),Tech Employees,"4,000+",Internet,https://gizmodo.com/google-employees-resign-in-protest-against-pentagon-con-1825729300
Google,A dozen employees resign from Google in response to project Maven.,2018-05-14,Ethics (Maven),Protest (Multiple Resignations),Tech Employees,12,,https://gizmodo.com/google-employees-resign-in-protest-against-pentagon-con-1825729300
Amazon,"Amazon workers from Spain, Poland and Germany, protested outside of the Axel Springer headquarters while Amazon CEO Jeff Bezos received and award inside. Protestors demanded wage regulations within Amazon's German logistic centers.",2018-05-22,Labor / Wage,Protest,Workers,450,"Berlin, Germany",https://www.dw.com/en/jeff-bezos-at-berlin-prize-ceremony-greeted-by-protests-against-amazon/a-43517761
Facebook,"Facebook shareholders protest against the company's operation, with 1/4 of stakeholders voting against the reappointment of Mark Zuckerberg and Sheryl Sandberg, and 60% of Class A stakeholders (or, ""ordinary stakeholder"") voting for a ""one vote per share"" system - a jab at the current existing power structure where Mark Zuckerberg controls 51% of the votes while owning 14% of the company.",2018-06-05,Company Management,Shareholder Proposal,Shareholders,NaN,"Menlo Park, California",https://www.irishtimes.com/business/technology/facebook-investors-lodge-protest-vote-against-board-1.3521069
Microsoft,Microsoft employees wrote an open letter expressing their anger over the company's choice to work with Immigration and Customs Enforcement (ICE).,2018-06-21,Ethics (ICE),Petition,Tech Employees,300+,Internet,https://www.theverge.com/2018/6/21/17488328/microsoft-ice-employees-signatures-protest
Salesforce,Over 650 Salesforce employees have signed a petition asking the company to terminate its contract with US Customs and Border Protection (CBP).,2018-06-25,Ethics (CBP),Petition,Tech Employees,650+,Internet,https://techcrunch.com/2018/09/25/protestors-call-on-salesforce-to-end-contract-with-border-patrol-agency/
Apple,"Dozens of activists staged an elaborate protest by transforming an Apple store into an emergency ward (equipped with x-rays, waiting room, surgeons and bloodied patients). The protest was in response to tax evasion by US tech companies operating in the EU.",2018-06-30,Tax Evasion,Street Protest,Concerned Citizens,24,"Paris, France",https://www.rt.com/news/431395-france-protest-apple-store/
Facebook,"Belgian art officials drafted and signed an open letter to Mark Zuckerberg, demanding that artistic representations of nudity be allowed to be displayed on their platform.",2018-07-30,Ethics,Petition,Concerned Citizens,12+,Belgium,https://mashable.com/2018/07/30/belgian-museums-facebook-artisitic-nudity/?europe=true
Google,"Following leaked documents from the secret ""Dragonfly"" project, a censored search engine for the Chinese government, Google employees circulated an open letter demanding greater transparency. The letter contained a list of demands which included: 1) introduction of ethics review structure, 2) appointment of ombudspeople, 3) clear plan for transparency, and 4) ethical assessment of Dragonfly, Maven & Air Gap GCP.",2018-08-16,"Ethics (Dragonfly, Maven, Air Gap GCP)",Letter (Petition),Tech Employees,1400+,Worldwide,https://www.buzzfeednews.com/article/carolineodonovan/google-dragonfly-maven-employee-protest-demands
Salesforce,Roughly a dozen protestors gathered to protest the company's contract with US Customs and Border Patrol (CBP).,2018-09-25,Ethics (CBP),Protest,Concerned Citizens,12,San Francisco,https://techcrunch.com/2018/09/25/protestors-call-on-salesforce-to-end-contract-with-border-patrol-agency/
Microsoft,"A group of Microsoft employees (who chose to remain anonymous), demanded the company not to bid on the $10 billion USD project with the Defense Department known as ""Joint Enterprise Defense Infrastructure"" (JEDI).",2018-10-13,Ethics (JEDI),Letter (Anonymous),Tech Employees,NaN,Internet,https://thehill.com/policy/technology/411503-microsoft-employees-pressure-company-to-not-pursue-multi-billion-pentagon
Amazon,An anonymous group of Amazon employees urged Jeff Bezos and ranking executives not sell facial recognition software (part of the program 'Recognition') to police. The letter also demanded Amazon remove Palantir from Amazon Web Services because of their involvement with ICE's deportation and tracking program.,2018-10-16,Ethics (ICE),Letter (Anonymous),Tech Employees,450+,Internet,https://medium.com/@amazon_employee/im-an-amazon-employee-my-company-shouldn-t-sell-facial-recognition-tech-to-police-36b5fde934ac
Google,"Estimated 20,000 Google employees walked out in protest of two senior executives at the company having been paid tens of millions of dollars despite being accused of sexual misconduct.",2018-11-01,Sexual Harassment,Walk-out,Tech Employees,20000,"Worldwide (San Francisco, New York, Singapore, Tokyo, London, Dublin, etc.)",https://www.nbcnews.com/tech/tech-news/google-employees-begin-walkout-over-handling-sexual-misconduct-executives-n929696?cid=ed_npd_bn_tw_bn
Amazon,Around 450 antique book dealers spread across 26 countries pulled their books off the site of an Amazon subsidiary in order to protest the company's choice to drop book dealers from a select group of nations. The action was responsible for removing 4-million books from the AbeBooks service.,2018-11-04,Company Policy,Protest (Online),Vendors,450+,Worldwide,https://www.seattletimes.com/business/booksellers-hit-amazon-with-strike/
Facebook,Brooklyn high school students protest their school's adoption of program designed by facebook engineers and paid for by CEO Mark Zuckerberg.,2018-11-05,Ethics,Protest,Students,100+,"Brooklyn, New York",https://nypost.com/2018/11/10/brooklyn-students-hold-walkout-in-protest-of-facebook-designed-online-program/amp/
